¡iTest¡j(Ensemble) Threshold Table_EN :
+------------------+-------+-------+---------+---------+---------+----------+-------------+-------------+
|    Threshold     |   TP  |   TN  |  TP+TN  |   PPV   |   NPV   | Accuracy | Sensitivity | Specificity |
|   (0.65,0.95)    |    3  |  125  |    128  |  0.750  |  0.283  |  0.288   |    0.035    |    0.348    |
|   (0.70,0.75)    |    8  |  125  |    133  |  0.889  |  0.287  |  0.299   |    0.093    |    0.348    |
|   (0.70,0.80)    |    7  |  125  |    132  |  0.875  |  0.286  |  0.297   |    0.081    |    0.348    |
|   (0.70,0.85)    |    6  |  125  |    131  |  0.857  |  0.285  |  0.294   |    0.070    |    0.348    |
|   (0.70,0.90)    |    4  |  125  |    129  |  0.800  |  0.284  |  0.290   |    0.047    |    0.348    |
|   (0.70,0.95)    |    3  |  125  |    128  |  0.750  |  0.283  |  0.288   |    0.035    |    0.348    |
|   (0.75,0.80)    |    7  |  125  |    132  |  0.875  |  0.286  |  0.297   |    0.081    |    0.348    |
|   (0.75,0.85)    |    6  |  125  |    131  |  0.857  |  0.285  |  0.294   |    0.070    |    0.348    |
|   (0.75,0.90)    |    4  |  125  |    129  |  0.800  |  0.284  |  0.290   |    0.047    |    0.348    |
|   (0.75,0.95)    |    3  |  125  |    128  |  0.750  |  0.283  |  0.288   |    0.035    |    0.348    |
|   (0.80,0.85)    |    6  |  125  |    131  |  0.857  |  0.285  |  0.294   |    0.070    |    0.348    |
|   (0.80,0.90)    |    4  |  125  |    129  |  0.800  |  0.284  |  0.290   |    0.047    |    0.348    |
|   (0.80,0.95)    |    3  |  125  |    128  |  0.750  |  0.283  |  0.288   |    0.035    |    0.348    |
|   (0.85,0.90)    |    4  |  125  |    129  |  0.800  |  0.284  |  0.290   |    0.047    |    0.348    |
|   (0.85,0.95)    |    3  |  125  |    128  |  0.750  |  0.283  |  0.288   |    0.035    |    0.348    |
|   (0.90,0.95)    |    3  |  125  |    128  |  0.750  |  0.283  |  0.288   |    0.035    |    0.348    |
|   (0.05,0.35)    |   21  |  225  |    246  |  0.656  |  0.545  |  0.553   |    0.244    |    0.627    |



