,11441.4,11499.1,11512.3,11527.8,11654.5,11683.2,11484.6,11668.2,,12360.2,5.9304,0.021666876,0.550067376,,,,,,,,,,,,,,,,
,0.4,0.4,0.4,0.8,0.4,1,0.4,0.6,,953.527326,,,,,,,,,,,,,,,,,,,
CP-KM-42079_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_2,SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1g,SAA1a,bin16,bin55,UDF10,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,,,,,,
,11472.1,11499.2,11512.2,11527,11654.8,11683.1,11482.4,11667.3,11442.6,,12360.3,4.4478,0.024382618,0.636449458,,,,,,,,,,,,,,,
,0.4,0.4,0.4,0.8,0.4,1,0.4,0.6,0.037654226,,632.5062286,,,,,,,,,,,,,,,,,,
CP-KM-42081_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1g,SAA1a,bin1,bin3,bin9,bin16,bin46,bin51,bin55,bin61,,ISD,MAD1,MAD2,Total_SAA,,,,,,
,11385.8,11412.7,11440.4,11473.2,11499.1,11512.3,11527.8,11629.3,11655.2,11683.4,11397.5,11425.4,11458.7,11484.6,11615.7,11640,11668.7,11705.9,,12360.2,12.6021,0.118903017,9.33641857,,,,,,
,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.2,0.4,1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.1,,1113.19043,,,,,,,,,
CP-KM-42081_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_2,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1g,SAA1a,bin3,bin10,bin16,bin46,bin51,bin55,bin61,UDF3,,ISD,MAD1,MAD2,Total_SAA,,,,,,
,11386.9,11411.4,11440.2,11473.3,11499,11512.5,11527,11629.5,11654.8,11683.3,11425.3,11459.7,11483.5,11615.3,11640.5,11668.4,11705.6,11398.6,,12360.3,10.3782,0.118240603,9.017927851,,,,,,
,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.2,0.4,1,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.062050931,,920.1692406,,,,,,,,,
CP-KM-42095_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA2a (RS-),SAA1g (RS-),SAAU2 (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1g,SAA1a,bin1,bin16,bin51,bin55,bin61,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,
,11385.7,11412.6,11426.4,11440.2,11473.2,11498.9,11512.3,11527,11628.3,11655.1,11683.3,11396.3,11484.4,11639.8,11668.4,11705.7,,12360.3,5.9304,0.040430648,3.010740864,,,,,,,,
,0.1,0.1,0.1,0.2,0.1,0.4,0.2,0.6,0.2,0.4,1,0.1,0.2,0.2,0.4,0.1,,1039.493948,,,,,,,,,,,
